,TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,INTERNET_CASA,EST_IDADE,EST_RENDA_PER_CAP,EST_CELULAR_PER_CAP,EST_COMP_PER_CAP,EST_VEICULO_PER_CAP,EST_ELE_DOM_PER_CAP
5113,Masculino,Branca,Privada,594.7,474.7,639.6,547.6,560.0,ES incompleto,ES incompleto,True,18.0,2805.0012500000003,0.5,0.25,0.25,0.75
5114,Feminino,Parda,Privada,393.5,457.8,394.6,478.2,540.0,PG incompleto,PG completo,True,19.0,4840.001666666667,1.0,1.0,0.0,2.333333333333333
5115,Masculino,Preta,Privada,502.6,406.9,531.6,450.6,500.0,ES incompleto,ES incompleto,True,17.0,1155.00125,1.125,0.5,0.75,1.5
5116,Feminino,Preta,Estadual,503.5,483.3,363.7,493.6,720.0,EF-2 incompleto,ES incompleto,True,18.0,1155.0025,1.0,0.5,0.0,2.0
5117,Feminino,Preta,Estadual,486.9,503.2,547.3,476.5,960.0,ES incompleto,EF-2 incompleto,True,18.0,220.0,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667
5118,Masculino,Branca,Privada,494.5,364.3,465.1,388.0,560.0,PG incompleto,PG incompleto,True,18.0,3630.00125,1.125,0.5,0.5,1.25
5119,Masculino,Branca,Privada,634.3,655.6,743.4,641.9,840.0,PG incompleto,PG incompleto,True,17.0,4180.001666666667,1.0,0.6666666666666666,0.6666666666666666,2.333333333333333
5120,Feminino,Branca,Privada,653.3,522.4,590.0,601.7,920.0,PG completo,PG completo,True,18.0,4950.000833333333,0.75,0.1666666666666666,0.3333333333333333,1.25
5121,Masculino,Branca,Estadual,534.7,449.4,464.1,558.8,540.0,ES incompleto,ES incompleto,True,18.0,165.0,0.25,0.0,0.25,1.0
5122,Feminino,Branca,Privada,614.3,611.1,702.4,632.3,960.0,PG completo,PG completo,True,17.0,4620.000999999999,0.9,0.9,0.4,1.8
5123,Feminino,Parda,Estadual,382.0,349.1,416.5,494.6,360.0,ES incompleto,EF-1 incompleto,True,18.0,726.001,0.9,0.2,0.2,1.2
5124,Masculino,Branca,Estadual,558.6,511.4,617.1,551.6,740.0,EM incompleto,EM incompleto,True,18.0,3630.00125,1.125,0.5,0.75,1.5
5125,Feminino,Branca,Privada,555.5,569.2,560.5,483.2,920.0,PG incompleto,PG completo,True,17.0,1815.0025,1.0,0.5,0.0,2.0
